Gene	sgRNA	ATRT_common|beta	ATRT_common|z	ATRT_common|p-value	ATRT_common|fdr	ATRT_common|wald-p-value	ATRT_common|wald-fdr
ZNF787	4	0.34218	1.713	0.7422	0.9451	0.086721	0.47241
FBLN2	4	0.51155	1.192	0.26214	0.69787	0.23325	0.48917
SH3BGR	4	-0.061656	-0.4066	0.23247	0.66742	0.6843	0.78789
HES2	4	0.071138	0.2942	0.46034	0.84301	0.7686	0.84686
KISS1	4	0.59974	1.5718	0.12102	0.50546	0.116	0.47241
GSTM3	4	0.40485	1.4812	0.53992	0.88136	0.13856	0.47241
SGK2	4	0.39245	1.5218	0.5788	0.89564	0.12805	0.47241
AHSP	4	0.57811	1.0259	0.14839	0.55656	0.30492	0.5284
SSH2	4	-0.14898	-1.1253	0.14462	0.55189	0.26045	0.50107
FOXO3	4	0.66216	1.2574	0.063887	0.38144	0.2086	0.4812
CEP250	4	0.17275	0.7748	0.7173	0.93983	0.43846	0.61193
CHST12	4	0.76039	1.2879	0.022813	0.21279	0.19776	0.47797
PTEN	4	1.1055	0.61384	0.00078485	0.020107	0.53932	0.68316
AGT	4	0.0084887	0.059506	0.33466	0.75971	0.95255	0.97084
ULK4	4	-0.07786	-0.42267	0.21416	0.64701	0.67254	0.77919
JMJD7	4	0.42018	1.2389	0.49126	0.85997	0.21538	0.48302
STAU2	4	-0.018226	-0.1056	0.29379	0.72894	0.9159	0.9473
AACS	4	0.33486	1.4788	0.76925	0.95324	0.13919	0.47241
FAM216A	4	0.86473	1.4471	0.0071683	0.09842	0.14788	0.47241
WDTC1	4	-0.1461	-0.85816	0.14719	0.5556	0.39081	0.58243
ACTG2	4	0.54556	1.8268	0.19872	0.62789	0.067723	0.47241
FIBIN	4	0.40203	1.7053	0.54945	0.88498	0.088146	0.47241
CCDC78	4	0.167	0.54538	0.7005	0.93201	0.5855	0.71477
CMTM5	4	0.3	1.3193	0.88442	0.9777	0.18706	0.47331
MYL10	4	0.19479	0.44139	0.7793	0.95508	0.65893	0.76926
TIMM10B	4	0.9711	0.79642	0.0023022	0.043435	0.42579	0.60391
DMC1	4	0.16658	1.1436	0.69878	0.93119	0.2528	0.49647
TNF	4	0.28092	0.73047	0.94747	0.99038	0.46511	0.63007
ZSCAN32	4	0.18361	1.1186	0.74796	0.94619	0.26333	0.50277
ZC3H12D	4	0.39113	1.6532	0.58293	0.89691	0.098298	0.47241
WNT8A	4	0.43243	0.7299	0.45694	0.8423	0.46545	0.63032
PTRF	4	0.24856	1.0397	0.94694	0.99038	0.29848	0.5249
PRR5-ARHGAP8	4	-0.21011	-1.0455	0.10166	0.46864	0.29579	0.52289
CACNA1S	4	-0.0077437	-0.038319	0.30986	0.74282	0.96943	0.98166
IQCJ	4	0.31055	1.2711	0.84832	0.96935	0.20369	0.47976
MYCBP	4	0.042973	0.23557	0.39875	0.80748	0.81377	0.87938
SLC46A1	4	0.15821	0.73366	0.67486	0.92433	0.46315	0.62868
TCAF2	4	0.010505	0.084647	0.33874	0.76502	0.93254	0.95808
SLC12A4	4	0.29368	1.4939	0.90577	0.98314	0.13521	0.47241
TLK2	4	-0.69804	-2.881	0.0048137	0.073365	0.0039643	0.097635
CLRN2	4	0.36933	1.4819	0.65168	0.91702	0.13837	0.47241
SYT15	4	0.27321	1.111	0.9719	0.99539	0.26658	0.50549
LRCH1	4	0.10912	0.47778	0.54897	0.88498	0.63281	0.74984
CHEK2	4	1.0305	0.7402	0.0013604	0.029851	0.45918	0.62635
DHRS7	4	0.044913	0.25618	0.40226	0.80943	0.79781	0.86792
IMMT	4	-0.057181	-0.17638	0.23802	0.67253	0.85999	0.9115
NOC4L	4	-0.019147	-0.046147	0.29217	0.72816	0.96319	0.97751
RGL2	4	-0.069468	-0.36502	0.22337	0.65626	0.7151	0.8093
LRRC3C	4	0.39465	1.4776	0.57158	0.89066	0.13953	0.47241
ZNF484	4	0.37339	1.672	0.63944	0.91518	0.094525	0.47241
PCDHB13	4	0.5458	1.6562	0.19846	0.62789	0.097686	0.47241
PRRC2A	4	-0.24109	-0.92055	0.085287	0.43386	0.35728	0.56145
FSBP	4	0.18481	0.57807	0.75047	0.94686	0.56322	0.69938
BUD31	4	-0.74968	-2.1867	0.0034533	0.058047	0.028764	0.37524
NELFE	4	-0.11742	-0.63469	0.17288	0.59457	0.52563	0.67341
ZNF853	4	0.77565	1.4138	0.018889	0.18734	0.15741	0.47241
HRCT1	4	0.60656	1.245	0.11255	0.48975	0.21312	0.48262
FAM184A	4	0.41453	1.7068	0.50879	0.86736	0.087856	0.47241
AGBL1	4	0.37124	1.4822	0.64614	0.91644	0.1383	0.47241
CCDC185	4	0.39103	1.8449	0.58314	0.89691	0.065046	0.47241
ADCYAP1	4	0.54943	1.2287	0.19135	0.62068	0.21918	0.48329
TRPV6	4	0.51781	1.4957	0.25037	0.68595	0.13472	0.47241
LDLRAP1	4	0.11634	0.49908	0.56567	0.88951	0.61773	0.7381
C18orf54	4	0.12396	0.83512	0.58581	0.89715	0.40365	0.59021
CDC42BPB	4	0.41329	0.98456	0.5123	0.86823	0.32484	0.53967
TRIM66	4	0.42194	1.5847	0.48739	0.85932	0.11303	0.47241
SPG21	4	-0.022628	-0.11616	0.28684	0.72265	0.90752	0.94218
NOVA1	4	0.054795	0.27053	0.42356	0.82149	0.78675	0.85993
CXCL11	4	0.21468	0.9147	0.83728	0.96718	0.36035	0.56308
RACGAP1	4	-0.62557	-2.3584	0.0080578	0.10599	0.018355	0.27731
HLA-G	4	0.097937	0.45155	0.51962	0.87137	0.65159	0.76396
TMA7	4	-0.20003	-0.99766	0.10705	0.47759	0.31844	0.5365
BLVRA	4	0.26278	0.91037	0.99356	0.99905	0.36262	0.56415
CLPP	4	0.25222	1.3528	0.95955	0.99409	0.17612	0.47241
SPIB	4	0.38375	1.0427	0.6058	0.90276	0.29709	0.52357
FOXP1	4	0.28876	0.70179	0.92366	0.98675	0.48281	0.6423
DNAJC8	4	-1.0109	-3.2923	0.00020929	0.0065147	0.00099359	0.03844
PPIL3	4	-0.037346	-0.1749	0.26439	0.70003	0.86116	0.91222
PRR34	4	0.42423	1.6087	0.48059	0.85513	0.10769	0.47241
GPKOW	4	-0.82709	-2.6479	0.001779	0.035343	0.0080995	0.16008
DMRT2	4	0.43846	1.51	0.43957	0.83172	0.13104	0.47241
ANKRD53	4	0.13531	0.78928	0.61469	0.90592	0.42995	0.60666
RNF40	4	-0.4911	-2.0778	0.019569	0.1914	0.037729	0.45095
IFI30	4	0.46199	1.3642	0.37788	0.79406	0.1725	0.47241
ARMCX6	4	-0.17225	-0.9567	0.12584	0.51698	0.33872	0.54951
OR10Q1	4	0.43026	1.5857	0.46217	0.8436	0.11281	0.47241
CARD18	4	0.28233	1.3778	0.94396	0.99029	0.16825	0.47241
C1orf54	4	0.31839	1.8572	0.82257	0.96336	0.06328	0.47241
PRDM10	4	-0.067343	-0.29041	0.22614	0.65924	0.7715	0.84876
CT45A3	4	-0.10904	-0.33625	0.18125	0.60708	0.73669	0.82433
ZNF749	4	0.21594	1.5725	0.84167	0.96804	0.11583	0.47241
GEMIN4	4	-0.89274	-2.7211	0.00099414	0.023143	0.0065058	0.14018
MUC20	4	-0.46437	-2.0536	0.023336	0.21473	0.040015	0.4689
MRGBP	4	0.011414	0.021705	0.34068	0.76617	0.98268	0.9904
LPAR3	4	0.39831	1.4783	0.5608	0.88857	0.13933	0.47241
SLC5A3	4	0.36496	1.4588	0.66602	0.92126	0.14463	0.47241
ADCY7	4	0.4867	1.1343	0.31603	0.74614	0.25668	0.49904
NELL1	4	0.17598	1.057	0.72708	0.94201	0.29052	0.51935
DGKB	4	1.2564	0.66889	0.00020929	0.0065147	0.50356	0.65738
TRIM43B	4	0.18248	1.0214	0.74487	0.94574	0.30707	0.52965
ING3	3	-0.139	-0.58728	0.2016	0.63048	0.55701	0.69493
RTFDC1	4	-0.88657	-2.438	0.00099414	0.023143	0.014769	0.24105
OTOA	4	0.45848	1.3245	0.38735	0.80197	0.18534	0.47306
UMAD1	4	0.73798	0.81994	0.02883	0.24598	0.41225	0.59548
CCND1	4	-0.23728	-0.59664	0.087327	0.43835	0.55075	0.69072
BPI	4	0.44911	1.2512	0.41011	0.81326	0.21085	0.48164
RCC1	4	-0.62794	-2.1731	0.0080054	0.10574	0.029771	0.38342
DDAH2	4	0.32486	0.91448	0.80102	0.96017	0.36046	0.56321
SHPK	4	0.41214	1.7753	0.51622	0.87032	0.075851	0.47241
PCNXL3	4	0.43195	0.78083	0.45804	0.84254	0.43491	0.61032
TBC1D8	4	0.90409	1.0523	0.0046568	0.071429	0.29268	0.52081
DPF2	4	0.080983	0.41806	0.48143	0.85551	0.6759	0.78181
CHMP4A	4	0.36929	1.6216	0.65205	0.91707	0.10488	0.47241
KRTCAP2	4	-0.31132	-1.6839	0.057189	0.3574	0.092202	0.47241
TRIM2	4	0.61234	1.6889	0.10595	0.47613	0.091233	0.47241
TMEM163	4	0.48559	1.4611	0.31896	0.7478	0.14398	0.47241
DTWD2	4	0.018539	0.078149	0.35334	0.77514	0.93771	0.96135
CCDC116	4	0.26506	1.2285	0.9989	0.99958	0.21925	0.48329
EGFL6	4	0.25385	1.2464	0.96526	0.99501	0.21262	0.48249
CT47A8	4	0.12368	0.31649	0.58518	0.89715	0.75163	0.83542
C10orf99	4	0.17382	0.56854	0.72039	0.94069	0.56967	0.70424
TPM4	4	0.69188	1.2876	0.046411	0.32337	0.19787	0.47797
TMEM80	4	0.46183	1.5945	0.37856	0.79479	0.11083	0.47241
VTI1A	4	0.081792	0.60288	0.48336	0.85689	0.54659	0.68794
RHOT1	4	-0.21147	-1.2912	0.10083	0.4666	0.19664	0.47768
OR10A7	4	0.45407	1.6781	0.39823	0.80736	0.093334	0.47241
B4GALNT2	4	0.50426	0.78607	0.27757	0.71333	0.43183	0.60795
TTBK1	4	0.39043	1.7378	0.58518	0.89715	0.082247	0.47241
NMBR	4	0.01447	0.079189	0.34591	0.76993	0.93688	0.96097
SMG9	4	-0.15368	-0.58418	0.14096	0.5459	0.5591	0.69646
RPL31	4	-1.5699	-4.2435	0	0	2.2009e-05	0.0036045
CDKN2AIP	4	0.24151	0.92739	0.92125	0.98628	0.35372	0.55931
TMEM170A	4	0.38919	1.3015	0.58869	0.89715	0.19309	0.47617
ATP2B1	4	0.46542	0.65144	0.36856	0.78649	0.51476	0.66609
ASB7	4	0.67945	1.4931	0.05316	0.34441	0.13541	0.47241
CSNK1D	4	0.068032	0.29815	0.4539	0.83971	0.76559	0.84498
TAC3	4	0.38142	1.5234	0.61333	0.90475	0.12765	0.47241
DMRTC1B	4	-0.046148	-0.24875	0.25288	0.68835	0.80356	0.8716
FBXO44	4	0.26742	1.4293	0.99058	0.99873	0.15291	0.47241
CD2	4	0.45036	1.3519	0.40697	0.81114	0.1764	0.47241
ZNF503	4	0.51258	1.3906	0.26031	0.6959	0.16435	0.47241
ACSM4	4	0.025777	0.15624	0.36485	0.78201	0.87584	0.92152
MAP4K1	4	0.60897	1.5392	0.10967	0.48329	0.12376	0.47241
PEBP4	4	0.4355	1.7463	0.44778	0.83705	0.080755	0.47241
PSMA5	4	-1.6509	-4.5067	0	0	6.5858e-06	0.0016782
UBR2	4	0.10346	0.51593	0.53448	0.87857	0.6059	0.73014
C1QTNF7	4	0.42531	1.222	0.47724	0.85354	0.22171	0.48422
FAM221B	4	0.18849	0.72831	0.76135	0.95132	0.46642	0.63087
MYO1H	4	0.3148	1.3906	0.83518	0.96698	0.16435	0.47241
MARK2	4	-0.049088	-0.21602	0.24869	0.68595	0.82897	0.89032
FLVCR2	4	0.18938	0.80883	0.76402	0.95194	0.41862	0.59974
GNAZ	3	0.49618	0.92661	0.37437	0.79078	0.35413	0.55939
TRAF5	4	0.27672	1.0766	0.96196	0.99475	0.28166	0.5138
SPAG11B	4	0.24116	0.76418	0.92057	0.98605	0.44476	0.61638
MAGED2	4	0.24627	1.4854	0.93878	0.99023	0.13743	0.47241
TCF12	4	0.84693	1.1062	0.0088949	0.11394	0.26863	0.50713
RABEP2	4	0.4843	1.5796	0.32205	0.74973	0.1142	0.47241
EPHB3	4	0.14586	0.84746	0.643	0.91613	0.39674	0.58615
SKOR1	4	0.86443	0.9662	0.0071683	0.09842	0.33394	0.54578
GAS2L2	4	0.2221	1.1903	0.85967	0.97139	0.23392	0.48923
CKMT1A	3	0.65522	0.66389	0.11223	0.48961	0.50676	0.65993
SNX4	4	0.10857	0.61011	0.54772	0.88479	0.54179	0.68452
HAAO	4	0.25789	0.79422	0.97918	0.99718	0.42707	0.60496
TALDO1	4	-0.19946	-1.2128	0.10747	0.47856	0.22519	0.48512
GATAD1	4	-0.77157	-2.8811	0.0029301	0.051996	0.0039627	0.097635
ASCL3	4	0.46286	0.79534	0.37552	0.79201	0.42642	0.60422
DEFB135	4	0.26223	1.2477	0.99215	0.99889	0.21216	0.48207
CEP85L	4	-0.073628	-0.55638	0.21861	0.65009	0.57795	0.70981
PPP2R2D	4	0.16758	0.8829	0.7016	0.93261	0.37729	0.57356
GPCPD1	4	0.055121	0.33754	0.42429	0.82174	0.73571	0.82383
CRYZL1	4	0.040646	0.11585	0.39405	0.80554	0.90777	0.94234
SPDL1	4	-0.77884	-2.6955	0.0027731	0.05	0.0070276	0.14727
YWHAB	4	0.4012	1.8372	0.55222	0.88594	0.066187	0.47241
HNRNPDL	4	-0.14246	-0.83249	0.15006	0.55891	0.40513	0.59122
NT5C3A	4	-0.067301	-0.45012	0.2263	0.6596	0.65262	0.76446
MYT1	4	0.33006	1.1546	0.78427	0.95593	0.24826	0.49462
GRIP1	4	0.24644	1.1333	0.93941	0.99024	0.25708	0.49927
DNAI2	4	-0.33536	-1.6497	0.049759	0.33205	0.098997	0.47241
CA4	4	0.61643	1.3564	0.10208	0.47002	0.17498	0.47241
TDRD6	4	0.57425	0.78435	0.15346	0.56404	0.43284	0.60867
TMPRSS6	4	0.15319	0.87568	0.66157	0.91959	0.38121	0.57625
FAM96A	4	-0.14058	-0.79664	0.15153	0.56005	0.42566	0.60381
ATG4C	4	0.10662	0.64506	0.54212	0.88261	0.51889	0.66895
MRPL55	4	-0.37348	-1.6047	0.040446	0.29777	0.10857	0.47241
SWSAP1	4	0.48254	0.73411	0.32608	0.75275	0.46288	0.62855
MEIOB	4	0.21623	1.0518	0.84282	0.96826	0.29288	0.52095
C1orf167	4	0.38535	1.5969	0.60004	0.90108	0.11029	0.47241
VSTM5	4	0.3195	1.0375	0.81875	0.9629	0.29952	0.52574
FAM219B	4	0.30683	1.2166	0.86129	0.97197	0.22376	0.48512
ATP13A4	4	0.041723	0.3102	0.39656	0.80667	0.75641	0.8383
S1PR5	4	0.63833	1.6936	0.080996	0.4226	0.090348	0.47241
RGS11	4	0.1034	0.5301	0.53438	0.87857	0.59604	0.72295
TRIM47	4	0.38096	1.5361	0.61495	0.90604	0.12451	0.47241
ASCC2	4	0.12429	0.75772	0.5867	0.89715	0.44862	0.6186
MYC	4	-0.73295	-1.7854	0.0038196	0.062715	0.0742	0.47241
C4orf3	4	0.43474	0.64954	0.45055	0.83879	0.51599	0.66699
SPATA31A3	4	-0.20528	-1.2402	0.10449	0.47412	0.21491	0.48291
DZIP1L	4	0.26155	1.4455	0.99037	0.99873	0.14831	0.47241
EXO1	4	0.10746	0.41279	0.54458	0.88391	0.67976	0.78485
ADGRF3	4	0.24775	0.93126	0.94401	0.99029	0.35172	0.55729
SCYL3	4	0.11642	0.309	0.56587	0.88951	0.75732	0.83894
C4B	4	0.17672	0.64039	0.72912	0.94201	0.52192	0.67103
TLE6	4	0.092213	0.75213	0.50576	0.86582	0.45197	0.62126
KCTD16	4	0.35614	1.4139	0.69391	0.92995	0.15739	0.47241
YARS	4	-1.592	-4.7167	0	0	2.397e-06	0.0008037
VGLL3	4	-0.056535	-0.19161	0.23912	0.67384	0.84805	0.90317
MTFMT	4	-0.25462	-1.0946	0.079374	0.41959	0.27367	0.50994
ARL1	4	0.098637	0.25111	0.52156	0.87242	0.80173	0.87066
LRRC69	4	0.62617	1.0591	0.093711	0.45161	0.28957	0.51887
NBEA	4	0.2211	1.7384	0.85679	0.97066	0.082144	0.47241
IQSEC2	4	0.28776	1.5531	0.92649	0.9874	0.12039	0.47241
ZFP36	4	0.44926	1.5996	0.40979	0.81326	0.10969	0.47241
FNDC4	4	0.25429	0.74324	0.96667	0.99501	0.45734	0.62513
ZNF597	4	0.43718	1.3736	0.44323	0.83409	0.16956	0.47241
PSPN	4	0.4215	1.4405	0.48844	0.85995	0.14972	0.47241
GPC4	4	0.4968	1.7207	0.29353	0.72894	0.085301	0.47241
EPPK1	4	0.67219	1.1352	0.057503	0.3581	0.25629	0.49896
GDF15	4	0.54894	1.5542	0.19213	0.62079	0.12014	0.47241
C14orf93	4	0.10844	0.6511	0.54735	0.88466	0.51498	0.66616
ZNF365	4	0.39499	0.94431	0.57011	0.8902	0.34501	0.55288
OR2W5	4	0.52572	1.7572	0.23378	0.66976	0.078889	0.47241
FGF8	4	0.33592	1.4686	0.76538	0.95194	0.14194	0.47241
KANK4	4	0.646	1.4879	0.075084	0.40837	0.13678	0.47241
CLCA4	4	0.40168	1.2728	0.55075	0.88519	0.20311	0.47976
LRRD1	4	-0.37016	-1.9155	0.041492	0.30267	0.055425	0.47241
BTNL9	4	0.29564	1.7446	0.89875	0.98044	0.081053	0.47241
HEXB	4	0.1994	0.8181	0.79144	0.95735	0.4133	0.59605
MTMR10	4	-0.11273	-0.69895	0.17774	0.6022	0.48458	0.64371
CCDC51	4	0.48342	0.64595	0.32388	0.75097	0.51831	0.66873
STIM2	4	0.28993	1.6194	0.91989	0.98598	0.10536	0.47241
ARHGEF10	4	0.54097	1.7862	0.20689	0.63805	0.074065	0.47241
XRN1	4	-1.2079	-3.8342	0	0	0.00012595	0.010724
ITLN1	4	0.19657	1.1524	0.78307	0.95593	0.24916	0.49516
ATP2A2	4	-1.6764	-4.2152	0	0	2.4961e-05	0.0037869
CNOT6L	4	-0.16386	-0.54496	0.13311	0.53177	0.58578	0.71504
ATG16L2	4	-0.30381	-1.2893	0.059805	0.36576	0.19729	0.47785
BRAP	4	-1.1687	-3.8372	0	0	0.00012443	0.010724
NOV	4	0.45778	1.7983	0.38944	0.80348	0.072132	0.47241
OR5H2	4	-0.080418	-0.32945	0.21086	0.6426	0.74182	0.82823
CYSLTR2	4	0.14088	1.0594	0.62856	0.91085	0.28943	0.51872
SSFA2	4	-0.11314	-0.59015	0.17706	0.60142	0.55509	0.69375
FANCD2	4	-0.39067	-2.0789	0.036992	0.28422	0.03763	0.45005
BDKRB2	4	0.48439	1.317	0.32179	0.74973	0.18784	0.47358
RALGPS1	4	0.57771	0.94815	0.14875	0.5569	0.34305	0.55155
RGMB	4	-0.49912	-2.4583	0.018575	0.18509	0.013961	0.23182
GTF2A1L	4	0.20411	0.31168	0.80515	0.96139	0.75528	0.83765
POMZP3	4	-0.92344	-3.574	0.00062788	0.016552	0.00035151	0.020654
CNIH4	4	0.049279	0.39146	0.4111	0.81363	0.69546	0.7953
SLCO3A1	4	0.25947	1.049	0.98373	0.99767	0.2942	0.52163
ATAD2	4	-0.39389	-1.994	0.036155	0.28055	0.046147	0.47241
NXPE1	4	0.16279	0.80869	0.68842	0.92871	0.41869	0.59974
OR2Z1	4	0.19498	1.0576	0.77951	0.95508	0.29023	0.51919
KCNA5	4	0.77255	1.4122	0.01983	0.192	0.1579	0.47241
ADGRG4	4	0.12801	0.80294	0.59612	0.89985	0.42201	0.60195
TNFRSF10B	4	0.32109	1.7591	0.81478	0.96273	0.078565	0.47241
CAMK4	4	0.11174	0.67036	0.55452	0.8862	0.50263	0.65674
HIST3H2BB	4	0.087318	0.41995	0.49513	0.86064	0.67452	0.78073
HIST1H2BO	4	-0.1179	-0.91114	0.17256	0.59456	0.36222	0.56393
PLEKHM3	4	0.33204	1.5038	0.77789	0.95508	0.13263	0.47241
SELL	4	-0.22161	-1.196	0.09481	0.45314	0.23168	0.4886
ZNF230	4	0.022218	0.11771	0.35946	0.77921	0.9063	0.94137
KIAA1468	4	0.3733	1.917	0.63949	0.91518	0.055243	0.47241
LMLN	4	0.4104	0.50659	0.52177	0.87242	0.61244	0.73409
ANGPT1	4	0.13215	0.72926	0.60653	0.90276	0.46584	0.63058
NAIP	4	0.2216	0.92918	0.85841	0.97125	0.3528	0.55838
RASA2	4	0.47623	1.5954	0.34073	0.76617	0.11063	0.47241
CT47A7	4	0.26096	1.269	0.98838	0.99873	0.20445	0.47976
PPID	4	0.10602	0.34157	0.54013	0.88148	0.73268	0.82167
CUL2	4	-0.38149	-1.8188	0.038719	0.29054	0.068936	0.47241
KIAA0226L	4	-0.058649	-0.27731	0.23661	0.67182	0.78154	0.85637
KRTAP19-6	4	0.36709	0.84741	0.65906	0.91891	0.39677	0.58615
CYP3A5	4	-0.014537	-0.059953	0.29877	0.73281	0.95219	0.97058
AGBL2	4	0.010007	0.05962	0.33769	0.76352	0.95246	0.9708
PHACTR3	4	0.33655	1.6006	0.76355	0.95194	0.10946	0.47241
DEPDC7	4	0.44609	1.4012	0.41707	0.81821	0.16115	0.47241
GSTK1	4	0.42444	1.9302	0.48012	0.85501	0.053578	0.47241
ANKRD62	4	0.078261	0.34943	0.47515	0.85148	0.72677	0.81802
YY1	4	-0.31036	-0.78712	0.057555	0.35831	0.43121	0.60764
CSE1L	4	-1.005	-3.0983	0.00020929	0.0065147	0.001946	0.059867
OXT	4	0.34551	1.8965	0.73095	0.94222	0.057892	0.47241
SLAMF1	4	0.28321	1.4309	0.94093	0.99029	0.15246	0.47241
ARAP2	4	0.56999	0.78243	0.15906	0.5724	0.43396	0.60951
HMGN5	4	-0.35165	-1.3353	0.045835	0.32018	0.18177	0.47241
DTWD1	4	-0.24844	-1.7528	0.081572	0.42376	0.079631	0.47241
NUCB2	4	-0.4592	-2.4125	0.024278	0.22127	0.015844	0.2519
TARSL2	4	0.12131	0.51281	0.57838	0.89535	0.60809	0.73156
PPM1A	4	-0.25972	-1.1293	0.077124	0.41404	0.25879	0.50054
MSANTD2	4	0.2655	1.2426	0.99775	0.99958	0.21402	0.48282
ERGIC3	4	0.16405	1.1264	0.69176	0.92942	0.26	0.50082
LOC339862	4	0.66192	1.4007	0.064044	0.38167	0.16129	0.47241
SUMO4	4	0.31562	0.80306	0.83236	0.96647	0.42194	0.60193
SLC35E2B	4	0.16187	0.75019	0.68569	0.92669	0.45314	0.62203
MXRA5	4	-0.2905	-1.6977	0.065613	0.38608	0.089565	0.47241
MACC1	4	0.31079	1.4637	0.84763	0.96935	0.14327	0.47241
ACOT2	4	0.506	1.7296	0.27375	0.70989	0.083705	0.47241
THRAP3	4	-0.04925	-0.24159	0.24859	0.68587	0.8091	0.87608
TUBB	4	-0.91581	-2.0724	0.00078485	0.020107	0.038225	0.45522
PRKD1	4	0.28716	1.1334	0.92868	0.98836	0.25704	0.49927
FSD1L	4	0.20026	0.85626	0.79411	0.95839	0.39185	0.58299
AADAT	4	0.42012	0.87424	0.49163	0.86003	0.38199	0.57676
SCAMP2	4	0.24006	1.1779	0.91764	0.98595	0.23882	0.4908
DCTN1	4	-0.8188	-2.7157	0.001779	0.035343	0.0066131	0.14185
MRPL41	4	-1.2081	-3.6406	0	0	0.00027204	0.017852
TPT1	4	-0.31624	-1.1424	0.055515	0.35191	0.2533	0.49689
SNX10	4	0.26723	1.4939	0.99147	0.99889	0.13519	0.47241
TAF6L	4	-1.0587	-3.1746	0.00010465	0.0037037	0.0015002	0.050568
RINL	4	0.08645	0.45928	0.49372	0.8602	0.64603	0.75996
FAM117A	4	0.02715	0.1567	0.3683	0.78613	0.87548	0.92151
ARHGAP24	4	-0.075271	-0.95717	0.21677	0.64998	0.33848	0.54934
HOXA10	4	0.37108	1.5747	0.64635	0.91644	0.11532	0.47241
ZNF148	4	-0.24823	-1.1427	0.081624	0.42391	0.25317	0.49677
NECAB1	4	0.22941	1.2841	0.88337	0.97748	0.1991	0.47797
PRKCH	4	-0.43989	-2.3171	0.027888	0.24052	0.0205	0.29761
NOP10	4	-0.87331	-2.9741	0.0011511	0.02619	0.0029384	0.07977
NUDT6	4	0.3954	0.96197	0.56928	0.89019	0.33606	0.547
EXOSC7	4	-0.53088	-1.8235	0.015226	0.16312	0.068226	0.47241
SYNC	4	0.36453	1.6447	0.66722	0.92159	0.10003	0.47241
CACNA1C	4	0.28853	1.1107	0.92429	0.98693	0.2667	0.50552
CD209	4	0.11759	0.60756	0.56886	0.89005	0.54348	0.68581
PEA15	4	0.14213	0.3558	0.63253	0.91255	0.72199	0.81442
39142	4	0.079913	0.87886	0.47928	0.85457	0.37948	0.57524
RBM5	4	0.24375	0.62991	0.92868	0.98836	0.52875	0.67589
CHL1	4	0.15938	0.63044	0.67811	0.92463	0.52841	0.67569
TUBA8	4	0.42252	1.6128	0.48577	0.85837	0.10678	0.47241
LINGO1	4	0.15729	0.97741	0.67303	0.92347	0.32837	0.54237
CLEC12B	4	-0.037718	-0.358	0.26418	0.70003	0.72034	0.81299
HUS1B	4	0.47518	1.05	0.3434	0.76838	0.2937	0.5215
RNF138	4	-0.018443	-0.1347	0.29364	0.72894	0.89285	0.93293
SLC5A6	4	0.45113	1.9078	0.40571	0.81066	0.056414	0.47241
SEC31B	4	0.17037	0.88084	0.71008	0.93671	0.37841	0.57447
ASB10	4	0.23708	1.271	0.90885	0.98342	0.20374	0.47976
PACS1	4	-0.021663	-0.147	0.28814	0.72368	0.88313	0.92662
ODF3L2	4	0.50475	0.85784	0.2759	0.71189	0.39098	0.58247
KATNAL2	4	0.29083	1.0757	0.91686	0.98595	0.28207	0.51397
PLCB4	4	0.21494	0.82926	0.83832	0.96745	0.40695	0.59211
CENPBD1	4	-0.0018367	-0.0048883	0.31781	0.74702	0.9961	0.99767
RIBC2	4	0.41193	1.2652	0.51706	0.87035	0.20579	0.47976
SCEL	3	0.07232	0.45539	0.49974	0.8631	0.64883	0.76219
CXorf38	4	0.65353	0.64654	0.069171	0.39265	0.51793	0.66864
AGMO	4	0.22754	0.95527	0.87767	0.97606	0.33944	0.54992
AURKC	4	-0.20829	-1.2628	0.10276	0.47093	0.20667	0.47989
PZP	4	0.16878	0.84529	0.70532	0.93472	0.39795	0.58696
ZDHHC7	4	-0.033106	-0.19165	0.27124	0.70723	0.84801	0.90317
TMEM176B	4	0.28911	0.91576	0.92246	0.98651	0.35979	0.56268
BRIP1	4	-0.60777	-2.7366	0.0092612	0.1173	0.0062068	0.13526
LRRC15	4	0.18775	1.5971	0.75905	0.95066	0.11025	0.47241
SP140	4	0.021158	0.1162	0.35752	0.77809	0.90749	0.94218
PPIL4	4	-1.038	-3.6295	0.00015697	0.0051282	0.00028397	0.018397
COQ6	4	-0.1746	-1.3516	0.12411	0.51309	0.17652	0.47241
PRODH	4	0.19412	1.2853	0.77757	0.95508	0.19869	0.47797
GJB1	4	0.41119	1.3129	0.51967	0.87138	0.18922	0.47449
HES4	4	0.50289	1.5387	0.28108	0.71751	0.12388	0.47241
ATF4	3	-0.403	-1.874	0.055986	0.35255	0.060937	0.47241
DOC2A	4	0.29044	1.5587	0.91817	0.98598	0.11907	0.47241
TREH	4	0.13259	0.76032	0.60752	0.90276	0.44706	0.61785
TCL1B	4	0.029227	0.19261	0.37191	0.78849	0.84727	0.90273
LOXL4	4	0.17615	1.3738	0.7275	0.94201	0.16951	0.47241
POLE	4	-0.90984	-2.2429	0.00083717	0.020592	0.024905	0.33638
PRKRA	4	-0.26836	-1.7176	0.073671	0.40437	0.085862	0.47241
TBL3	4	-0.014569	-0.025277	0.29877	0.73281	0.97983	0.98889
NDUFB7	4	-0.69733	-2.6849	0.0048661	0.073693	0.0072544	0.15091
